Pid Tid Torder Res Dcls Did Time Correct Ans Key ec1 ec2 ec3 ec4 ec5
1 1 1 5 1 1 17 0 3 2 0.051086 0.206575 27 0.257661 75
1 1 2 1 1 2 20 1 3 3 0.000173 0.200168 52 0.199995 93
1 1 3 3 1 3 23 1 2 2 0.064932 0.337284 68 0.402217 101
1 1 4 2 1 4 18 1 2 2 0.094432 0.205555 88 0.299987 93
1 1 5 4 1 5 19 1 1 1 0.135138 0.382347 39 0.247209 69
1 1 6 5 1 1 29 0 3 1 0.076381 0.295351 25 0.218970 19 
1 1 7 1 1 2 23 1 1 1 0.056719 0.247650 155 0.190931 105 
1 1 8 3 1 3 11 1 1 1 0.169901 0.347839 66 0.177938 35 
1 1 9 2 1 4 19 0 3 2 0.102037 0.213807 99 0.315845 111 
1 1 10 4 1 5 8 1 1 1 0.126348 0.385617 30 0.259270 43 
1 1 11 5 3 1 15 1 2 2 0.088970 0.191645 10 0.280614 16 
1 1 12 1 3 2 11 0 3 2 0.013941 0.221219 19 0.235160 6 
1 1 13 3 3 3 18 1 2 2 0.019670 0.360222 56 0.379892 82 
1 1 14 2 3 4 13 1 2 2 0.059291 0.203579 38 0.262870 15 
1 1 15 4 3 5 9 1 1 1 0.174568 0.468940 10 0.294372 14 
1 1 16 5 3 1 11 1 1 1 0.155271 0.325241 6 0.169970 3 
1 1 17 1 3 2 12 1 1 1 0.107685 0.294773 16 0.187087 13 
1 1 18 3 3 3 10 1 1 1 0.202508 0.376490 49 0.173982 33 
1 1 19 2 3 4 10 1 2 2 0.032155 0.234408 20 0.266563 15 
1 1 20 4 3 5 11 1 1 1 0.178417 0.469212 8 0.290795 14 
1 1 21 5 2 1 20 0 1 2 0.047421 0.212136 41 0.259557 8 
1 1 22 1 2 2 22 1 3 3 0.000922 0.200403 53 0.199481 97 
1 1 23 3 2 3 8 1 2 2 0.064673 0.337143 68 0.401816 101 
1 1 24 2 2 4 10 1 2 2 0.109175 0.205198 88 0.314373 79 
1 1 25 4 2 5 14 1 1 1 0.134868 0.382228 39 0.247360 69 
1 1 26 5 2 1 10 0 2 1 0.107015 0.338577 4 0.231562 13 
1 1 27 1 2 2 12 1 1 1 0.058341 0.246852 159 0.188511 115 
1 1 28 3 2 3 17 1 1 1 0.169738 0.347589 66 0.177851 35 
1 1 29 2 2 4 19 1 2 2 0.117011 0.213336 99 0.330347 95 
1 1 30 4 2 5 12 1 1 1 0.126116 0.385434 31 0.259318 43 
1 2 31 5 1 1 55 1 2 2 9 0 0 0 0
1 2 32 1 1 2 15 1 1 1 21 0 0 0 0
1 2 33 3 1 3 24 1 1 1 11 0 0 0 0
1 2 34 2 1 4 43 1 2 2 17 0 0 0 0
1 2 35 4 1 5 13 0 1 2 9 0 0 0 0
1 2 36 5 1 1 33 1 2 2 9 0 0 0 0
1 2 37 1 1 2 14 1 1 1 12 0 0 0 0
1 2 38 3 1 3 9 1 1 1 15 0 0 0 0
1 2 39 2 1 4 25 1 2 2 11 0 0 0 0
1 2 40 4 1 5 34 1 2 2 10 0 0 0 0
1 2 41 5 3 1 12 1 2 2 9 0 0 0 0
1 2 42 1 3 2 13 1 1 1 11 0 0 0 0
1 2 43 3 3 3 11 1 1 1 11 0 0 0 0
1 2 44 2 3 4 10 1 2 2 17 0 0 0 0
1 2 45 4 3 5 10 1 2 2 8 0 0 0 0
1 2 46 5 3 1 10 1 2 2 9 0 0 0 0
1 2 47 1 3 2 8 1 1 1 12 0 0 0 0
1 2 48 3 3 3 8 1 1 1 15 0 0 0 0
1 2 49 2 3 4 7 1 2 2 11 0 0 0 0
1 2 50 4 3 5 39 1 2 2 10 0 0 0 0
1 2 51 5 2 1 31 1 2 2 9 0 0 0 0
1 2 52 1 2 2 13 1 1 1 21 0 0 0 0
1 2 53 3 2 3 16 1 1 1 11 0 0 0 0
1 2 54 2 2 4 32 0 1 2 17 0 0 0 0
1 2 55 4 2 5 9 0 1 2 9 0 0 0 0
1 2 56 5 2 1 10 1 2 2 9 0 0 0 0
1 2 57 1 2 2 8 1 1 1 12 0 0 0 0
1 2 58 3 2 3 12 1 1 1 15 0 0 0 0
1 2 59 2 2 4 17 1 2 2 11 0 0 0 0
1 2 60 4 2 5 15 1 2 2 10 0 0 0 0
1 3 61 5 1 1 73 0 5 1 26 0 0 0 0
1 3 62 1 1 2 45 1 2 2 35 0 0 0 0
1 3 63 3 1 3 13 1 3 3 29 0 0 0 0
1 3 64 2 1 4 28 1 4 4 20 0 0 0 0
1 3 65 4 1 5 21 0 4 5 14 0 0 0 0
1 3 66 5 1 1 42 1 1 1 21 0 0 0 0
1 3 67 1 1 2 9 1 2 2 44 0 0 0 0
1 3 68 3 1 3 6 1 3 3 188 0 0 0 0
1 3 69 2 1 4 12 1 4 4 29 0 0 0 0
1 3 70 4 1 5 10 0 4 5 18 0 0 0 0
1 3 71 5 3 1 29 0 5 1 16 0 0 0 0
1 3 72 1 3 2 5 1 2 2 35 0 0 0 0
1 3 73 3 3 3 5 1 3 3 29 0 0 0 0
1 3 74 2 3 4 17 1 4 4 27 0 0 0 0
1 3 75 4 3 5 16 0 4 5 14 0 0 0 0
1 3 76 5 3 1 38 1 1 1 10 0 0 0 0
1 3 77 1 3 2 7 1 2 2 44 0 0 0 0
1 3 78 3 3 3 4 1 3 3 186 0 0 0 0
1 3 79 2 3 4 12 0 5 4 27 0 0 0 0
1 3 80 4 3 5 13 0 4 5 18 0 0 0 0
1 3 81 5 2 1 6 1 1 1 26 0 0 0 0
1 3 82 1 2 2 5 1 2 2 35 0 0 0 0
1 3 83 3 2 3 4 1 3 3 29 0 0 0 0
1 3 84 2 2 4 17 0 5 4 20 0 0 0 0
1 3 85 4 2 5 11 0 4 5 14 0 0 0 0
1 3 86 5 2 1 5 1 1 1 21 0 0 0 0
1 3 87 1 2 2 4 1 2 2 44 0 0 0 0
1 3 88 3 2 3 3 1 3 3 188 0 0 0 0
1 3 89 2 2 4 16 0 5 4 29 0 0 0 0
1 3 90 4 2 5 8 0 4 5 18 0 0 0 0
1 4 91 5 1 1 23 0 0 1 99.13825 17.130037 29 0 0
1 4 92 1 1 2 19 0 0 1 325.766304 15.378211 118 0 0
1 4 93 3 1 3 24 0 0 1 497.358058 25.548269 85 0 0
1 4 94 2 1 4 11 1 1 1 54.010603 29.424623 48 0 0
1 4 95 4 1 5 15 0 0 1 180.996349 31.030435 61 0 0
1 4 96 5 1 1 11 1 1 1 23.150293 25.123905 53 0 0
1 4 97 1 1 2 16 0 0 1 245.588378 12.858324 66 0 0
1 4 98 3 1 3 17 0 0 1 824.847224 22.274494 45 0 0
1 4 99 2 1 4 23 1 1 1 61.219332 28.643363 74 0 0
1 4 100 4 1 5 28 0 0 1 244.592498 33.082050 93 0 0
1 4 101 5 3 1 4 0 0 1 171.48907 17.130037 16 0 0
1 4 102 1 3 2 3 1 1 1 14.058404 15.378211 13 0 0
1 4 103 3 3 3 7 0 0 1 362.045577 25.548269 17 0 0
1 4 104 2 3 4 15 1 1 1 22.327762 29.424624 17 0 0
1 4 105 4 3 5 4 1 1 1 11.196296 31.030433 12 0 0
1 4 106 5 3 1 4 1 1 1 21.932324 25.123905 18 0 0
1 4 107 1 3 2 4 1 1 1 29.302042 12.858323 24 0 0
1 4 108 3 3 3 13 0 0 1 271.68904 22.274494 43 0 0
1 4 109 2 3 4 4 1 1 1 43.408125 28.643362 38 0 0
1 4 110 4 3 5 2 1 1 1 16.388642 33.082050 14 0 0
1 4 111 5 2 1 13 0 0 1 190.703524 17.130037 23 0 0
1 4 112 1 2 2 29 0 0 1 328.786803 15.378211 55 0 0
1 4 113 3 2 3 15 0 0 1 428.921838 25.548268 71 0 0
1 4 114 2 2 4 9 1 1 1 49.730057 29.424623 48 0 0
1 4 115 4 2 5 13 1 1 1 40.89872 31.030435 44 0 0
1 4 116 5 2 1 8 1 1 1 17.774906 25.123904 58 0 0
1 4 117 1 2 2 13 0 0 1 181.156863 12.858325 58 0 0
1 4 118 3 2 3 29 0 0 1 304.020709 22.274493 45 0 0
1 4 119 2 2 4 25 1 1 1 48.759094 28.643363 74 0 0
1 4 120 4 2 5 8 1 1 1 27.498713 33.082050 31 0 0
1 5 121 5 1 1 15 1 1 1 0 0 0 0 0
1 5 122 1 1 2 12 1 2 1 0 0 0 0 0
1 5 123 3 1 3 9 0 1 2 0 0 0 0 0
1 5 124 2 1 4 13 0 1 1 0 0 0 0 0
1 5 125 4 1 5 10 1 1 2 0 0 0 0 0
1 5 126 5 1 1 11 1 1 2 0 0 0 0 0
1 5 127 1 1 2 8 1 1 2 0 0 0 0 0
1 5 128 3 1 3 5 1 2 2 0 0 0 0 0
1 5 129 2 1 4 9 1 1 2 0 0 0 0 0
1 5 130 4 1 5 11 0 1 1 0 0 0 0 0
1 5 131 5 3 1 6 1 1 1 0 0 0 0 0
1 5 132 1 3 2 12 0 1 1 0 0 0 0 0
1 5 133 3 3 3 6 0 1 2 0 0 0 0 0
1 5 134 2 3 4 5 1 2 1 0 0 0 0 0
1 5 135 4 3 5 5 1 1 2 0 0 0 0 0
1 5 136 5 3 1 5 1 1 2 0 0 0 0 0
1 5 137 1 3 2 4 1 1 2 0 0 0 0 0
1 5 138 3 3 3 4 1 2 2 0 0 0 0 0
1 5 139 2 3 4 5 1 1 2 0 0 0 0 0
1 5 140 4 3 5 7 1 2 1 0 0 0 0 0
1 5 141 5 2 1 12 1 1 1 0 0 0 0 0
1 5 142 1 2 2 5 1 2 1 0 0 0 0 0
1 5 143 3 2 3 6 0 1 2 0 0 0 0 0
1 5 144 2 2 4 10 0 1 1 0 0 0 0 0
1 5 145 4 2 5 6 1 1 2 0 0 0 0 0
1 5 146 5 2 1 5 1 1 2 0 0 0 0 0
1 5 147 1 2 2 6 1 1 2 0 0 0 0 0
1 5 148 3 2 3 4 1 2 2 0 0 0 0 0
1 5 149 2 2 4 8 1 1 2 0 0 0 0 0
1 5 150 4 2 5 10 0 1 1 0 0 0 0 0
1 6 151 5 1 1 26 1 3 3 0.5385 20 13 0 0
1 6 152 1 1 2 19 0 2 3 0.4000 35 25 0 0
1 6 153 3 1 3 8 1 1 1 0.0800 25 27 0 0
1 6 154 2 1 1 24 0 2 3 0.5464 97 150 0 0
1 6 155 4 1 3 9 1 3 3 0.5556 14 9 0 0
1 6 156 5 1 1 26 0 2 3 0.6154 13 21 0 0
1 6 157 1 1 2 12 0 1 3 0.5909 35 22 0 0
1 6 158 3 1 3 16 1 2 2 0.3158 25 19 0 0
1 6 159 2 1 1 15 0 2 3 0.5222 137 90 0 0
1 6 160 4 1 3 13 1 2 2 0.2857 14 18 0 0
